,attrs,label,level,site,tag,text,url
17,"{'itemprop': 'name', 'content': 'The ""too old to adopt their granddaughter"" myth'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
18,"{'itemprop': 'url', 'content': 'https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
19,"{'itemprop': 'description', 'content': 'A widely reported story about a judge refusing to allow a child to live with her grandparents, because they were too old, is proved wrong by the judgment. '}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
20,"{'itemprop': 'image', 'content': 'https://fullfact.org/media/_versions/ff-wp-files/2015/07/4271147412_3b0056d347_z_social_media.jpg'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
21,{'charset': 'utf-8'},None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
22,"{'name': 'viewport', 'content': 'width=device-width'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
23,"{'content': 'yes', 'name': 'apple-mobile-web-app-capable'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
24,"{'name': 'apple-mobile-web-app-status-bar-style', 'content': 'black-translucent'}",None,3,fullfact,meta,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
25,"{'rel': ['canonical'], 'href': 'https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/'}",None,3,fullfact,link,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
26,"{'rel': ['amphtml'], 'href': 'https://fullfact.org/law/too-old-adopt-their-granddaughter-myth/?amp=1'}",None,3,fullfact,link,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
27,"{'rel': ['profile'], 'href': 'http://gmpg.org/xfn/11'}",None,3,fullfact,link,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
28,"{'rel': ['shortcut', 'icon'], 'href': '/static/img/favicon.ico'}",None,3,fullfact,link,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
29,{},Title,3,fullfact,title,"The ""too old to adopt their granddaughter"" myth -  Full Fact",http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
30,"{'href': '/static/lib/bootstrap-3.3.6-dist/css/bootstrap.min.css', 'rel': ['stylesheet'], 'media': 'screen'}",None,3,fullfact,link,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
31,"{'href': '/static/css/new-styles.min.css?v=69', 'rel': ['stylesheet'], 'media': 'screen'}",None,3,fullfact,link,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
32,"{'rel': ['stylesheet'], 'media': 'print', 'href': '/static/css/print.min.css?v=3'}",None,3,fullfact,link,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
33,{},None,3,fullfact,noscript,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
34,"{'height': '1', 'width': '1', 'alt': '', 'style': 'display:none', 'src': 'https://www.facebook.com/tr?id=736670223119754&ev=PixelInitialized'}",None,4,fullfact,img,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
35,"{'class': ['article', '']}",None,2,fullfact,body,"Full Fact - The UK’s independent factchecking charityMenuCloseHomeAboutBlogContactToolkitDonateEconomyEuropeHealthCrimeEducationImmigrationLawFacebookTwitterLinkedInAboutEconomyEuropeHealthCrimeEducationImmigrationLawHomeBlogContactToolkitDonate×CloseHomeLawFamily lawThe ""too old to adopt their granddaughter"" mythThe ""too old to adopt their granddaughter"" mythPublished: 24th Jul 2015ShareTweet    .hover-img a { position:relative; }    .hover-img a span { position:absolute; display:none !important; z-index:99; }    .hover-img a:hover span { display:block !important; }In briefClaimA judge refused to allow a child to live with her grandparents, instead of being adopted, because they were too old. ConclusionThis isn't correct. Age was mentioned in passing in the judge's written decision, but not as the main reason for it.""The grandparents of a three-year-old girl have been blocked from adopting her because they are 'too old'""Daily Mail, 21 July 2015""On first glance its disgusting they shou",http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
36,{'id': 'wrapper'},None,3,fullfact,div,"Full Fact - The UK’s independent factchecking charityMenuCloseHomeAboutBlogContactToolkitDonateEconomyEuropeHealthCrimeEducationImmigrationLawFacebookTwitterLinkedInAboutEconomyEuropeHealthCrimeEducationImmigrationLawHomeBlogContactToolkitDonate×CloseHomeLawFamily lawThe ""too old to adopt their granddaughter"" mythThe ""too old to adopt their granddaughter"" mythPublished: 24th Jul 2015ShareTweet    .hover-img a { position:relative; }    .hover-img a span { position:absolute; display:none !important; z-index:99; }    .hover-img a:hover span { display:block !important; }In briefClaimA judge refused to allow a child to live with her grandparents, instead of being adopted, because they were too old. ConclusionThis isn't correct. Age was mentioned in passing in the judge's written decision, but not as the main reason for it.""The grandparents of a three-year-old girl have been blocked from adopting her because they are 'too old'""Daily Mail, 21 July 2015""On first glance its disgusting they shou",http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
37,"{'class': ['navbar', 'navbar-inverse', 'navbar-sharp', 'navbar-main', 'navbar-fixed-top']}",None,4,fullfact,nav,Full Fact - The UK’s independent factchecking charityMenuCloseHomeAboutBlogContactToolkitDonateEconomyEuropeHealthCrimeEducationImmigrationLawFacebookTwitterLinkedInAboutEconomyEuropeHealthCrimeEducationImmigrationLawHomeBlogContactToolkitDonate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
38,{'class': ['container']},None,5,fullfact,div,Full Fact - The UK’s independent factchecking charityMenuCloseHomeAboutBlogContactToolkitDonateEconomyEuropeHealthCrimeEducationImmigrationLawFacebookTwitterLinkedIn,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
39,"{'class': ['col-lg-10', 'col-main-left', 'no-padding-right', 'no-padding-left']}",None,6,fullfact,div,Full Fact - The UK’s independent factchecking charityMenuCloseHomeAboutBlogContactToolkitDonateEconomyEuropeHealthCrimeEducationImmigrationLaw,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
40,{'class': ['navbar-header']},None,7,fullfact,div,Full Fact - The UK’s independent factchecking charityMenuClose,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
41,{'class': ['brand-tagline']},None,8,fullfact,h1,Full Fact - The UK’s independent factchecking charity,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
42,{'class': ['sr-only']},None,9,fullfact,span,Full Fact -,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
43,"{'class': ['navbar-brand', 'navbar-brand-mobile', 'hidden-lg'], 'href': '/'}",None,8,fullfact,a,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
44,"{'src': '/static/img/logo.png', 'class': ['banner-logo'], 'alt': 'Full Fact'}",None,9,fullfact,img,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
45,"{'class': ['navbar-toggle', 'collapsed', 'hidden-lg'], 'data-target': '#navbar-main-collapse', 'data-toggle': 'collapse', 'type': 'button'}",None,8,fullfact,button,MenuClose,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
46,{'class': ['icon-bar-wrap']},None,9,fullfact,div,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
47,{'class': ['icon-bar']},None,10,fullfact,span,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
48,{'class': ['icon-bar']},None,10,fullfact,span,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
49,{'class': ['icon-bar']},None,10,fullfact,span,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
50,{'class': ['icon-close-icon-wrap']},None,9,fullfact,div,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
51,{'class': ['icon-close']},None,10,fullfact,span,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
52,{'class': ['title']},None,9,fullfact,span,Menu,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
53,"{'class': ['title', 'title-closed']}",None,9,fullfact,span,Close,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
54,"{'action': '/search/', 'class': ['visible-sm', 'visible-md', 'col-sm-4', 'navbar-form', 'navbar-form-tablet'], 'id': 'searchformTablet', 'method': 'get', 'name': 'searchformTablet', 'role': 'search'}",None,8,fullfact,form,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
55,"{'class': ['btn', 'btn-default'], 'type': 'submit'}",None,9,fullfact,button,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
56,{'class': ['icon-search']},None,10,fullfact,span,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
57,{'class': ['form-group']},None,9,fullfact,div,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
58,"{'class': ['form-control'], 'id': 'navbar-form-input-tablet', 'name': 'q', 'type': 'text', 'value': ''}",None,10,fullfact,input,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
59,"{'class': ['collapse', 'navbar-collapse', 'collapse', 'visible-lg']}",None,7,fullfact,div,HomeAboutBlogContactToolkitDonateEconomyEuropeHealthCrimeEducationImmigrationLaw,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
60,"{'class': ['nav', 'navbar-nav', 'nav-bar-pages']}",None,8,fullfact,ul,HomeAboutBlogContactToolkitDonate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
61,{},None,9,fullfact,li,Home,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
62,{'href': '/'},None,10,fullfact,a,Home,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
63,{},None,9,fullfact,li,About,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
64,{'href': '/about'},None,10,fullfact,a,About,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
65,{},None,9,fullfact,li,Blog,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
66,{'href': '/blog/'},None,10,fullfact,a,Blog,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
67,{},None,9,fullfact,li,Contact,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
68,{'href': '/about/contact/'},None,10,fullfact,a,Contact,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
69,{},None,9,fullfact,li,Toolkit,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
70,{'href': '/toolkit/'},None,10,fullfact,a,Toolkit,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
71,{},None,9,fullfact,li,Donate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
72,"{'href': '/donate/', 'style': 'color: #fff714;'}",None,10,fullfact,a,Donate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
73,{'class': ['clearfix']},None,8,fullfact,div,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
74,"{'class': ['nav', 'navbar-nav', 'nav-bar-categories', 'nav-bar-categories-lg', 'col-lg-9']}",None,8,fullfact,ul,EconomyEuropeHealthCrimeEducationImmigrationLaw,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
75,"{'class': ['col-sm-12', 'no-padding']}",None,9,fullfact,li,Economy,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
76,{'href': '/economy/'},None,10,fullfact,a,Economy,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
77,"{'class': ['col-sm-12', 'no-padding']}",None,9,fullfact,li,Europe,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
78,{'href': '/europe/'},None,10,fullfact,a,Europe,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
79,"{'class': ['col-sm-12', 'no-padding']}",None,9,fullfact,li,Health,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
80,{'href': '/health/'},None,10,fullfact,a,Health,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
81,"{'class': ['col-sm-12', 'no-padding']}",None,9,fullfact,li,Crime,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
82,{'href': '/crime/'},None,10,fullfact,a,Crime,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
83,"{'class': ['col-sm-12', 'no-padding']}",None,9,fullfact,li,Education,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
84,{'href': '/education/'},None,10,fullfact,a,Education,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
85,"{'class': ['col-sm-12', 'no-padding']}",None,9,fullfact,li,Immigration,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
86,{'href': '/immigration/'},None,10,fullfact,a,Immigration,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
87,"{'class': ['col-sm-12', 'no-padding']}",None,9,fullfact,li,Law,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
88,{'href': '/law/'},None,10,fullfact,a,Law,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
89,"{'action': '/search/', 'class': ['hidden-xs', 'col-sm-4', 'col-md-3', 'col-lg-3', 'navbar-form', 'navbar-form-lg'], 'id': 'searchform', 'method': 'get', 'name': 'searchform', 'role': 'search'}",None,8,fullfact,form,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
90,"{'class': ['btn', 'btn-default'], 'type': 'submit'}",None,9,fullfact,button,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
91,{'class': ['icon-search']},None,10,fullfact,span,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
92,{'class': ['form-group']},None,9,fullfact,div,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
93,"{'class': ['form-control'], 'id': 'navbar-form-input', 'name': 'q', 'type': 'text', 'value': ''}",None,10,fullfact,input,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
94,"{'class': ['col-lg-2', 'visible-lg', 'col-main-right', 'no-padding']}",None,6,fullfact,div,FacebookTwitterLinkedIn,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
95,{'class': ['col-lg-9']},None,7,fullfact,div,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
96,"{'class': ['navbar-brand'], 'href': '/'}",None,8,fullfact,a,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
97,"{'src': '/static/img/logo.png', 'class': ['banner-logo'], 'alt': 'Full Fact'}",None,9,fullfact,img,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
98,"{'class': ['col-lg-3', 'social-navbar']}",None,7,fullfact,div,FacebookTwitterLinkedIn,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
99,{},None,8,fullfact,ul,FacebookTwitterLinkedIn,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
100,{'class': ['facebook']},None,9,fullfact,li,Facebook,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
101,{'href': 'http://facebook.com/fullfact.org'},None,10,fullfact,a,Facebook,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
102,{'class': ['twitter']},None,9,fullfact,li,Twitter,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
103,{'href': 'http://twitter.com/fullfact'},None,10,fullfact,a,Twitter,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
104,{'class': ['linkedin']},None,9,fullfact,li,LinkedIn,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
105,{'href': 'http://www.linkedin.com/company/fullfact'},None,10,fullfact,a,LinkedIn,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
106,"{'class': ['collapse', 'navbar-collapse', 'collapse', 'hidden-lg', 'no-padding', 'navbar-collapse-mobile'], 'id': 'navbar-main-collapse'}",None,5,fullfact,div,AboutEconomyEuropeHealthCrimeEducationImmigrationLawHomeBlogContactToolkitDonate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
107,"{'class': ['nav', 'navbar-nav', 'nav-bar-categories', 'col-lg-9']}",None,6,fullfact,ul,AboutEconomyEuropeHealthCrimeEducationImmigrationLaw,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
108,{},None,7,fullfact,li,About,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
109,"{'href': '/about', 'class': ['container', 'no-padding']}",None,8,fullfact,a,About,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
110,"{'class': ['col-sm-12', 'no-padding']}",None,7,fullfact,li,Economy,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
111,"{'href': '/economy/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Economy,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
112,"{'class': ['col-sm-12', 'no-padding']}",None,7,fullfact,li,Europe,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
113,"{'href': '/europe/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Europe,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
114,"{'class': ['col-sm-12', 'no-padding']}",None,7,fullfact,li,Health,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
115,"{'href': '/health/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Health,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
116,"{'class': ['col-sm-12', 'no-padding']}",None,7,fullfact,li,Crime,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
117,"{'href': '/crime/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Crime,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
118,"{'class': ['col-sm-12', 'no-padding']}",None,7,fullfact,li,Education,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
119,"{'href': '/education/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Education,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
120,"{'class': ['col-sm-12', 'no-padding']}",None,7,fullfact,li,Immigration,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
121,"{'href': '/immigration/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Immigration,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
122,"{'class': ['col-sm-12', 'no-padding']}",None,7,fullfact,li,Law,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
123,"{'href': '/law/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Law,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
124,{'class': ['clearfix']},None,6,fullfact,div,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
125,"{'class': ['nav', 'navbar-nav', 'nav-bar-pages']}",None,6,fullfact,ul,HomeBlogContactToolkitDonate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
126,{},None,7,fullfact,li,Home,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
127,"{'href': '/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Home,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
128,{},None,7,fullfact,li,Blog,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
129,"{'href': '/blog/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Blog,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
130,{},None,7,fullfact,li,Contact,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
131,"{'href': '/about/contact/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Contact,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
132,{},None,7,fullfact,li,Toolkit,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
133,"{'href': '/toolkit/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Toolkit,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
134,{},None,7,fullfact,li,Donate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
135,"{'href': '/donate/', 'class': ['container', 'no-padding']}",None,8,fullfact,a,Donate,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
136,"{'class': ['modal', 'fade'], 'id': 'imagemodal', 'tabindex': '-1', 'role': 'dialog', 'aria-labelledby': 'myModalLabel', 'aria-hidden': 'true'}",None,4,fullfact,div,×Close,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
137,{'class': ['modal-dialog']},None,5,fullfact,div,×Close,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
138,{'class': ['modal-content']},None,6,fullfact,div,×Close,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
139,{'class': ['modal-body']},None,7,fullfact,div,×Close,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
140,"{'type': 'button', 'class': ['close'], 'data-dismiss': 'modal'}",None,8,fullfact,button,×Close,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
141,{'aria-hidden': 'true'},None,9,fullfact,span,×,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
142,{'class': ['sr-only']},None,9,fullfact,span,Close,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
143,"{'src': '', 'class': ['imagepreview'], 'style': 'width: 100%;'}",None,8,fullfact,img,,http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
144,"{'class': ['container', 'main-container'], 'id': 'mainContainer'}",None,4,fullfact,div,"HomeLawFamily lawThe ""too old to adopt their granddaughter"" mythThe ""too old to adopt their granddaughter"" mythPublished: 24th Jul 2015ShareTweet    .hover-img a { position:relative; }    .hover-img a span { position:absolute; display:none !important; z-index:99; }    .hover-img a:hover span { display:block !important; }In briefClaimA judge refused to allow a child to live with her grandparents, instead of being adopted, because they were too old. ConclusionThis isn't correct. Age was mentioned in passing in the judge's written decision, but not as the main reason for it.""The grandparents of a three-year-old girl have been blocked from adopting her because they are 'too old'""Daily Mail, 21 July 2015""On first glance its disgusting they shouldn't be able to care for child. Second glance is their something in past that's not be disclosed in story""Comment below Daily Mail storyDiscussion 'below the line' isn't something we regularly cite, to say the least. But in this case, the reader's co",http://fullfact.org/law/too-old-adopt-their-granddaughter-myth/
